"","Symbol","industry"
"811","CRON","Drug Manufacturers - Specialty &amp; Generic"
"812","CCRN","Staffing &amp; Outsourcing Services"
"813","CRWS","Apparel Manufacturing"
"814","CYRX","Packaging &amp; Containers"
"815","CYRXW",NA
"816","CSGS","Software - Infrastructure"
"817","CCLP","Oil &amp; Gas Equipment &amp; Services"
"818","CSPI","Information Technology Services"
"819","CSWI","Diversified Industrials"
"820","CSX","Railroads"
"821","CTIC","Biotechnology"
"822","CTIB","Rubber &amp; Plastics"
"823","CTRP","Leisure"
"824","CUE","Biotechnology"
"825","CUI","Electronic Components"
"826","CPIX","Drug Manufacturers - Specialty &amp; Generic"
"827","CMLS","Broadcasting - Radio"
"828","CRIS","Biotechnology"
"829","CUTR","Medical Devices"
"830","CVBF","Banks - Regional - US"
"831","CVV","Diversified Industrials"
"832","CYAN","Packaged Foods"
"833","CYBR","Software - Infrastructure"
"834","CYBE","Scientific &amp; Technical Instruments"
"835","CYCC","Biotechnology"
"836","CYCCP","Biotechnology"
"837","CYCNV",NA
"838","CBAY","Biotechnology"
"839","CY","Semiconductors"
"840","CYRN","Software - Infrastructure"
"841","CONE","REIT - Diversified"
"842","CYTK","Biotechnology"
"843","CTMX","Biotechnology"
"844","CYTX","Biotechnology"
"845","CYTXZ",NA
"846","CTSO","Diagnostics &amp; Research"
"847","CYTR","Biotechnology"
"848","DJCO","Publishing"
"849","DAKT","Computer Systems"
"850","DARE","Biotechnology"
"851","DRIO","Diagnostics &amp; Research"
"852","DRIOW",NA
"853","DZSI","Communication Equipment"
"854","DSKE","Trucking"
"855","DSKEW",NA
"856","DAIO","Electronic Components"
"857","DTSS","Conglomerates"
"858","PLAY","Restaurants"
"859","DTEA","Packaged Foods"
"860","DFNL",NA
"861","DINT",NA
"862","DUSA",NA
"863","DWLD",NA
"864","DWSN","Oil &amp; Gas Equipment &amp; Services"
"865","DBVT","Biotechnology"
"866","DDMX","Conglomerates"
"867","DDMXU",NA
"868","DDMXW",NA
"869","DCPH","Biotechnology"
"870","DFRG","Restaurants"
"871","TACO","Restaurants"
"872","TACOW",NA
"873","DMPI","Biotechnology"
"874","DNLI","Biotechnology"
"875","DENN","Restaurants"
"876","XRAY","Medical Instruments &amp; Supplies"
"877","DERM","Biotechnology"
"878","DEST","Apparel Stores"
"879","DXLG","Apparel Stores"
"880","DSWL","Electronic Components"
"881","DXCM","Diagnostics &amp; Research"
"882","DFBH","Conglomerates"
"883","DFBHU","Conglomerates"
"884","DFBHW",NA
"885","DHXM","Broadcasting - TV"
"886","DMAC","Biotechnology"
"887","DHIL","Asset Management"
"888","FANG","Oil &amp; Gas E&amp;P"
"889","DPHCU","Conglomerates"
"890","DRNA","Biotechnology"
"891","DFFN","Biotechnology"
"892","DGII","Communication Equipment"
"893","DMRC","Information Technology Services"
"894","DRAD","Medical Devices"
"895","DGLY","Security &amp; Protection Services"
"896","APPS","Software - Application"
"897","DCOM","Savings &amp; Cooperative Banks"
"898","DIOD","Semiconductors"
"899","DISCA","Media - Diversified"
"900","DISCB","Media - Diversified"
"901","DISCK","Media - Diversified"
"902","DISH","Pay TV"
"903","DVCR","Long-Term Care Facilities"
"904","SAUC","Restaurants"
"905","DLHC","Staffing &amp; Outsourcing Services"
"906","BOOM","Metal Fabrication"
"907","DNBF","Banks - Regional - US"
"908","DOCU","Software - Application"
"909","DOGZ","Household &amp; Personal Products"
"910","DLTR","Discount Stores"
"911","DLPN","Internet Content &amp; Information"
"912","DLPNW",NA
"913","DOMO","Software - Application"
"914","DGICA","Insurance - Property &amp; Casualty"
"915","DGICB","Insurance - Property &amp; Casualty"
"916","DMLP","Oil &amp; Gas E&amp;P"
"917","DORM","Auto Parts"
"918","DOVA","Biotechnology"
"919","LYL","Credit Services"
"920","DBX","Software - Infrastructure"
"921","DCAR","Software - Application"
"922","DRYS","Shipping &amp; Ports"
"923","DSPG","Semiconductors"
"924","DLTH","Apparel Stores"
"925","DNKN","Restaurants"
"926","DRRX","Drug Manufacturers - Specialty &amp; Generic"
"927","DXPE","Industrial Distribution"
"928","DYSL","Scientific &amp; Technical Instruments"
"929","DYNT","Medical Devices"
"930","DVAX","Biotechnology"
"931","ETFC","Capital Markets"
"932","SSP","Broadcasting - TV"
"933","EBMT","Banks - Regional - US"
"934","EGBN","Banks - Regional - US"
"935","EGLE",NA
"936","EFBI","Savings &amp; Cooperative Banks"
"937","EGRX","Drug Manufacturers - Specialty &amp; Generic"
"938","EWBC","Banks - Global"
"939","EML","Tools &amp; Accessories"
"940","EAST","Beverages - Wineries &amp; Distilleries"
"941","EVGBC",NA
"942","EVSTC",NA
"943","EVFTC",NA
"944","EVLMC",NA
"945","OKDCC",NA
"946","EBAY","Specialty Retail"
"947","EBAYL",NA
"948","EBIX","Software - Application"
"949","ECHO","Integrated Shipping &amp; Logistics"
"950","SATS","Communication Equipment"
"951","EEI","Waste Management"
"952","EDAP","Medical Devices"
"953","EDNT","Leisure"
"954","EDIT","Biotechnology"
"955","EDTX","Conglomerates"
"956","EDTXU","Conglomerates"
"957","EDTXW",NA
"958","EDUC","Publishing"
"959","EGAN","Software - Application"
"960","EHTH","Insurance Brokers"
"961","EIDX","Biotechnology"
"962","EIGR","Biotechnology"
"963","EKSO","Medical Instruments &amp; Supplies"
"964","LOCO","Restaurants"
"965","ESLT","Aerospace &amp; Defense"
"966","ERI","Resorts &amp; Casinos"
"967","SOLO","Auto Manufacturers"
"968","SOLOW",NA
"969","ECOR","Medical Instruments &amp; Supplies"
"970","EA","Electronic Gaming &amp; Multimedia"
"971","EFII","Computer Systems"
"972","ELSE","Scientific &amp; Technical Instruments"
"973","ESBK","Banks - Regional - US"
"974","ELOX","Biotechnology"
"975","ELTK","Contract Manufacturers"
"976","EMCI","Insurance - Property &amp; Casualty"
"977","EMCF","Banks - Regional - US"
"978","EMKR","Semiconductors"
"979","EMMS","Broadcasting - Radio"
"980","NYNY","Resorts &amp; Casinos"
"981","ENTA","Biotechnology"
"982","ECPG","Asset Management"
"983","WIRE","Electronic Components"
"984","ENDP","Drug Manufacturers - Specialty &amp; Generic"
"985","ELGX","Medical Instruments &amp; Supplies"
"986","NDRA","Diagnostics &amp; Research"
"987","NDRAW",NA
"988","EIGI","Software - Application"
"989","WATT","Electronic Components"
"990","EFOI","Home Furnishings &amp; Fixtures"
"991","ERII","Pollution &amp; Treatment Controls"
"992","ENG","Engineering &amp; Construction"
"993","ENOB","Biotechnology"
"994","ENPH","Semiconductor Equipment &amp; Materials"
"995","ESGR","Insurance - Diversified"
"996","ESGRO","Insurance - Diversified"
"997","ESGRP","Insurance - Diversified"
"998","ETTX",NA
"999","ENFC","Banks - Regional - US"
"1000","ENTG","Semiconductor Equipment &amp; Materials"
"1001","ENTX","Biotechnology"
"1002","ENTXW",NA
"1003","EBTC","Savings &amp; Cooperative Banks"
"1004","EFSC","Banks - Regional - US"
"1005","EPZM","Biotechnology"
"1006","PLUS","Software - Application"
"1007","EPSN","Oil &amp; Gas E&amp;P"
"1008","EQ","Biotechnology"
"1009","EQIX","REIT - Diversified"
"1010","EQBK","Banks - Regional - US"
"1011","ERIC","Communication Equipment"
"1012","ERIE","Insurance Brokers"
"1013","ERYP","Biotechnology"
"1014","ESCA","Leisure"
"1015","ESPR","Biotechnology"
"1016","ESQ","Banks - Regional - US"
"1017","ESSA","Savings &amp; Cooperative Banks"
"1018","EPIX","Drug Manufacturers - Specialty &amp; Generic"
"1019","ESTA","Medical Devices"
"1020","ESTR","Conglomerates"
"1021","ESTRW",NA
"1022","VBND",NA
"1023","VUSE",NA
"1024","VIDI",NA
"1025","ETON","Biotechnology"
"1026","ETSY","Specialty Retail"
"1027","CLWT","Pollution &amp; Treatment Controls"
"1028","EDRY","Shipping &amp; Ports"
"1029","EEFT","Business Services"
"1030","ESEA","Shipping &amp; Ports"
"1031","EVLO","Biotechnology"
"1032","EVBG","Software - Application"
"1033","EVK","Apparel Manufacturing"
"1034","EVER","Internet Content &amp; Information"
"1035","MRAM","Semiconductor Memory"
"1036","EVLV","Specialty Retail"
"1037","EVOP","Software - Infrastructure"
"1038","EVFM","Biotechnology"
"1039","EVGN","Biotechnology"
"1040","EVOK","Drug Manufacturers - Specialty &amp; Generic"
"1041","EOLS","Drug Manufacturers - Specialty &amp; Generic"
"1042","EVOL","Software - Application"
"1043","EXAS","Diagnostics &amp; Research"
"1044","FLAG",NA
"1045","ROBO",NA
"1046","XELA","Software - Infrastructure"
"1047","EXEL","Biotechnology"
"1048","EXFO","Communication Equipment"
"1049","EXLS","Business Services"
"1050","EXPI","Real Estate Services"
"1051","EXPE","Leisure"
"1052","EXPD","Integrated Shipping &amp; Logistics"
"1053","EXPO","Business Services"
"1054","STAY","Lodging"
"1055","XOG","Oil &amp; Gas E&amp;P"
"1056","EXTR","Communication Equipment"
"1057","EYEG","Biotechnology"
"1058","EYEGW",NA
"1059","EYEN","Biotechnology"
"1060","EYPT","Biotechnology"
"1061","EZPW","Credit Services"
"1062","FFIV","Software - Infrastructure"
"1063","FB","Internet Content &amp; Information"
"1064","FLMN","Oil &amp; Gas E&amp;P"
"1065","FLMNW",NA
"1066","DAVE","Restaurants"
"1067","FANH","Insurance Brokers"
"1068","FARM","Packaged Foods"
"1069","FMAO","Banks - Regional - US"
"1070","FMNB","Banks - Regional - US"
"1071","FAMI","Packaged Foods"
"1072","FARO","Scientific &amp; Technical Instruments"
"1073","FAST","Industrial Distribution"
"1074","FAT","Restaurants"
"1075","FATE","Biotechnology"
"1076","FBSS","Banks - Regional - US"
"1077","FLF","Insurance - Life"
"1078","FNHC","Insurance - Property &amp; Casualty"
"1079","FENC","Biotechnology"
"1080","GSM","Industrial Metals &amp; Minerals"
"1081","FFBW","Banks - Regional - US"
"1082","FCSC","Drug Manufacturers - Specialty &amp; Generic"
"1083","FGEN","Biotechnology"
"1084","FDBC","Banks - Regional - US"
"1085","ONEQ",NA
"1086","LION","Banks - Regional - US"
"1087","FDUS","Asset Management"
"1088","FDUSL",NA
"1089","FDUSZ",NA
"1090","FRGI","Restaurants"
"1091","FITB","Banks - Regional - US"
"1092","FITBI","Banks - Regional - US"
"1093","FISI","Banks - Regional - US"
"1094","FNSR","Communication Equipment"
"1095","FNJN","Software - Application"
"1096","FTAC","Conglomerates"
"1097","FTACU","Conglomerates"
"1098","FTACW",NA
"1099","FEYE","Software - Application"
"1100","FBNC","Banks - Regional - US"
"1101","FNLC","Banks - Regional - US"
"1102","FRBA","Banks - Regional - US"
"1103","BUSE","Banks - Regional - US"
"1104","FBIZ","Banks - Regional - US"
"1105","FCAP","Savings &amp; Cooperative Banks"
"1106","FCBP","Specialty Finance"
"1107","FCNCA","Banks - Regional - US"
"1108","FCBC","Banks - Regional - US"
"1109","FCCO","Banks - Regional - US"
"1110","FDEF","Savings &amp; Cooperative Banks"
"1111","FFBC","Banks - Regional - US"
"1112","FFIN","Banks - Regional - US"
"1113","THFF","Banks - Regional - US"
"1114","FFNW","Banks - Regional - US"
"1115","FFWM","Banks - Regional - US"
"1116","FGBI","Banks - Regional - US"
"1117","FHB","Banks - Regional - US"
"1118","INBK","Banks - Regional - US"
"1119","INBKL",NA
"1120","FIBK","Banks - Regional - US"
"1121","FRME","Banks - Regional - US"
"1122","FMBH","Banks - Regional - US"
"1123","FMBI","Banks - Regional - US"
"1124","FNWB","Savings &amp; Cooperative Banks"
"1125","FSFG","Banks - Regional - US"
"1126","FSLR","Solar"
"1127","FAAR",NA
"1128","FPA",NA
"1129","BICK",NA
"1130","FBZ",NA
"1131","FTHI",NA
"1132","FCAL",NA
"1133","FCAN",NA
"1134","FTCS",NA
"1135","FCEF",NA
"1136","FCA",NA
"1137","SKYY",NA
"1138","RNDM",NA
"1139","FDT",NA
"1140","FDTS",NA
"1141","FVC",NA
"1142","FV",NA
"1143","IFV",NA
"1144","DDIV",NA
"1145","DVOL",NA
"1146","DVLU",NA
"1147","DWPP",NA
"1148","DALI",NA
"1149","FDNI",NA
"1150","FEM",NA
"1151","RNEM",NA
"1152","FEMB",NA
"1153","FEMS",NA
"1154","FTSM",NA
"1155","FEP",NA
"1156","FEUZ",NA
"1157","FGM",NA
"1158","FTGC",NA
"1159","FTLB",NA
"1160","HYLS",NA
"1161","FHK",NA
"1162","NFTY",NA
"1163","FTAG",NA
"1164","FTRI",NA
"1165","LEGR",NA
"1166","FPXI",NA
"1167","FPXE",NA
"1168","FJP",NA
"1169","FEX",NA
"1170","FTC",NA
"1171","RNLC",NA
"1172","FTA",NA
"1173","FLN",NA
"1174","LMBS",NA
"1175","LDSF",NA
"1176","FMB",NA
"1177","FMK",NA
"1178","FNX",NA
"1179","FNY",NA
"1180","RNMC",NA
"1181","FNK",NA
"1182","FAD",NA
"1183","FAB",NA
"1184","MDIV",NA
"1185","MCEF",NA
"1186","FMHI",NA
"1187","QABA",NA
"1188","ROBT",NA
"1189","FTXO",NA
"1190","QCLN",NA
"1191","GRID",NA
"1192","CIBR",NA
"1193","FTXG",NA
"1194","CARZ",NA
"1195","FTXN",NA
"1196","FTXH",NA
"1197","FTXD",NA
"1198","FTXL",NA
"1199","FONE",NA
"1200","TDIV",NA
"1201","FTXR",NA
"1202","QQEW",NA
"1203","QQXT",NA
"1204","QTEC",NA
"1205","AIRR",NA
"1206","RDVY",NA
"1207","RFAP",NA
"1208","RFDI",NA
"1209","RFEM",NA
"1210","RFEU",NA
"1211","FID",NA
"1212","FTSL",NA
"1213","FYX",NA
"1214","FYC",NA
"1215","RNSC",NA
"1216","FYT",NA
"1217","SDVY",NA
"1218","FKO",NA
"1219","FCVT",NA
"1220","FDIV",NA
"1221","FSZ",NA
"1222","FIXD",NA
"1223","TUSA",NA
"1224","FKU",NA
"1225","RNDV",NA
"1226","FUNC","Banks - Regional - US"
"1227","FUSB","Banks - Regional - US"
"1228","MYFW","Banks - Regional - US"
"1229","FCFS","Credit Services"
"1230","SVVC","Asset Management"
"1231","FSV","Real Estate Services"
"1232","FISV","Business Services"
"1233","FIVE","Specialty Retail"
"1234","FPRX","Biotechnology"
"1235","FVE","Long-Term Care Facilities"
"1236","FIVN","Software - Infrastructure"
"1237","FLEX","Contract Manufacturers"
"1238","FLKS","Biotechnology"
"1239","FLXN","Drug Manufacturers - Specialty &amp; Generic"
"1240","SKOR",NA
"1241","LKOR",NA
"1242","MBSD",NA
"1243","ASET",NA
"1244","ESGG",NA
"1245","ESG",NA
"1246","QLC",NA
"1247","FPAY","Credit Services"
"1248","FPAYW",NA
"1249","FLXS","Home Furnishings &amp; Fixtures"
"1250","FLIR","Scientific &amp; Technical Instruments"
"1251","FLNT","Marketing Services"
"1252","FLDM","Diagnostics &amp; Research"
"1253","FFIC","Savings &amp; Cooperative Banks"
"1254","FNCB","Banks - Regional - US"
"1255","FOMX","Biotechnology"
"1256","FOCS","Asset Management"
"1257","FONR","Medical Devices"
"1258","FSCT","Software - Application"
"1259","FRSX","Scientific &amp; Technical Instruments"
"1260","FORM","Semiconductors"
"1261","FORTY","Information Technology Services"
"1262","FORR","Business Services"
"1263","FRTA","Building Materials"
"1264","FTNT","Software - Application"
"1265","FBIO","Biotechnology"
"1266","FBIOP","Biotechnology"
"1267","FTSV","Biotechnology"
"1268","FMCI","Conglomerates"
"1269","FMCIU","Conglomerates"
"1270","FMCIW",NA
"1271","FWRD","Integrated Shipping &amp; Logistics"
"1272","FORD","Footwear &amp; Accessories"
"1273","FWP","Biotechnology"
"1274","FOSL","Footwear &amp; Accessories"
"1275","FOX","Broadcasting - TV"
"1276","FOXA","Broadcasting - TV"
"1277","FOXF","Recreational Vehicles"
"1278","FRAN","Apparel Stores"
"1279","FELE","Diversified Industrials"
"1280","FRED","Discount Stores"
"1281","RAIL","Railroads"
"1282","FEIM","Communication Equipment"
"1283","FRPT","Packaged Foods"
"1284","FTDR","Business Services"
"1285","FTEO","Information Technology Services"
"1286","FTR","Telecom Services"
"1287","FRPH","Real Estate Services"
"1288","FSBW","Banks - Regional - US"
"1289","FSBC","Banks - Regional - US"
"1290","FTD","Specialty Retail"
"1291","FTEK","Pollution &amp; Treatment Controls"
"1292","FCEL","Utilities - Independent Power Producers"
"1293","FLGT","Diagnostics &amp; Research"
"1294","FORK","Home Furnishings &amp; Fixtures"
"1295","FLL","Resorts &amp; Casinos"
"1296","FULT","Banks - Regional - US"
"1297","FNKO","Leisure"
"1298","FSNN","Telecom Services"
"1299","FHL","Capital Markets"
"1300","FTFT","Beverages - Soft Drinks"
"1301","FFHL","Packaging &amp; Containers"
"1302","FVCB","Banks - Regional - US"
"1303","WILC","Food Distribution"
"1304","GTHX","Biotechnology"
"1305","FOANC",NA
"1306","GRBIC",NA
"1307","MOGLC",NA
"1308","PETZC",NA
"1309","GAIA","Specialty Retail"
"1310","GLPG","Biotechnology"
"1311","GALT","Drug Manufacturers - Specialty &amp; Generic"
"1312","GLMD","Biotechnology"
"1313","GMDA","Biotechnology"
"1314","GLPI","REIT - Diversified"
"1315","GPIC","Gambling"
"1316","GRMN","Scientific &amp; Technical Instruments"
"1317","GARS","Asset Management"
"1318","GLIBA","Telecom Services"
"1319","GLIBP","Telecom Services"
"1320","GDS","Data Storage"
"1321","GEMP","Biotechnology"
"1322","GENC","Farm &amp; Construction Equipment"
"1323","GFN","Rental &amp; Leasing Services"
"1324","GFNCP","Rental &amp; Leasing Services"
"1325","GFNSL",NA
"1326","GENE","Diagnostics &amp; Research"
"1327","GNUS","Media - Diversified"
"1328","GNMK","Medical Devices"
"1329","GNCA","Biotechnology"
"1330","GHDX","Diagnostics &amp; Research"
"1331","GNPX","Biotechnology"
"1332","GNTX","Auto Parts"
"1333","THRM","Auto Parts"
"1334","GEOS","Oil &amp; Gas Equipment &amp; Services"
"1335","GABC","Banks - Regional - US"
"1336","GERN","Biotechnology"
"1337","GEVO","Specialty Chemicals"
"1338","ROCK","Building Materials"
"1339","GIGM","Electronic Gaming &amp; Multimedia"
"1340","GIII","Apparel Manufacturing"
"1341","GILT","Communication Equipment"
"1342","GILD","Drug Manufacturers - Major"
"1343","GBCI","Banks - Regional - US"
"1344","GLAD","Asset Management"
"1345","GLADD",NA
"1346","GLADN","Asset Management"
"1347","GOOD","REIT - Diversified"
"1348","GOODM","REIT - Diversified"
"1349","GOODO","REIT - Diversified"
"1350","GOODP","REIT - Diversified"
"1351","GAIN","Asset Management"
"1352","GAINL","Asset Management"
"1353","GAINM","Asset Management"
"1354","LAND","REIT - Industrial"
"1355","LANDP","REIT - Industrial"
"1356","GLBZ","Banks - Regional - US"
"1357","GBT","Biotechnology"
"1358","ENT","Media - Diversified"
"1359","GBLI","Insurance - Property &amp; Casualty"
"1360","GBLIL",NA
"1361","GBLIZ",NA
"1362","SELF","REIT - Industrial"
"1363","GWRS","Utilities - Regulated Water"
"1364","DRIV",NA
"1365","KRMA",NA
"1366","DAX",NA
"1367","EBIZ",NA
"1368","FINX",NA
"1369","AIQ",NA
"1370","BFIT",NA
"1371","SNSR",NA
"1372","LNGR",NA
"1373","MILN",NA
"1374","CHIC",NA
"1375","EFAS",NA
"1376","QYLD",NA
"1377","BOTZ",NA
"1378","CATH",NA
"1379","SOCL",NA
"1380","ALTY",NA
"1381","SRET",NA
"1382","YLCO",NA
"1383","GLBS","Shipping &amp; Ports"
"1384","GLUU","Electronic Gaming &amp; Multimedia"
"1385","GLYC","Biotechnology"
"1386","GOGO","Telecom Services"
"1387","GLNG","Shipping &amp; Ports"
"1388","GMLP","Shipping &amp; Ports"
"1389","GMLPP",NA
"1390","DNJR","Credit Services"
"1391","GDEN","Gambling"
"1392","GOGL","Shipping &amp; Ports"
"1393","GBDC","Asset Management"
"1394","GTIM","Restaurants"
"1395","GSHD","Insurance - Diversified"
"1396","GPRO","Consumer Electronics"
"1397","GPAQ","Conglomerates"
"1398","GPAQU","Conglomerates"
"1399","GPAQW",NA
"1400","GRSH","Conglomerates"
"1401","GRSHU","Conglomerates"
"1402","GRSHW",NA
"1403","GMHI",NA
"1404","GMHIU","Conglomerates"
"1405","GMHIW",NA
"1406","GOSS","Biotechnology"
"1407","LOPE","Education &amp; Training Services"
"1408","GRVY","Electronic Gaming &amp; Multimedia"
"1409","GECC","Asset Management"
"1410","GECCL",NA
"1411","GECCM",NA
"1412","GEC","Asset Management"
"1413","GLDD","Engineering &amp; Construction"
"1414","GSBC","Banks - Regional - US"
"1415","GRBK","Real Estate - General"
"1416","GPP","Oil &amp; Gas Midstream"
"1417","GPRE","Specialty Chemicals"
"1418","GCBC","Savings &amp; Cooperative Banks"
"1419","GLAC","Conglomerates"
"1420","GLACR",NA
"1421","GLACU","Conglomerates"
"1422","GLACW",NA
"1423","GLRE","Insurance - Reinsurance"
"1424","GRNQ","Business Services"
"1425","GSKY","Software - Infrastructure"
"1426","GSUM","Software - Application"
"1427","GRIF","Real Estate Services"
"1428","GRFS","Drug Manufacturers - Major"
"1429","GRIN","Shipping &amp; Ports"
"1430","GRTS","Biotechnology"
"1431","GRPN","Internet Content &amp; Information"
"1432","OMAB","Airports &amp; Air Services"
"1433","GGAL","Banks - Regional - Latin America"
"1434","GVP","Software - Application"
"1435","GSIT","Semiconductors"
"1436","GSVC","Asset Management"
"1437","GTXI","Biotechnology"
"1438","GTYH","Conglomerates"
"1439","GTYHW",NA
"1440","GNTY","Banks - Regional - US"
"1441","GFED","Banks - Regional - US"
"1442","GH","Diagnostics &amp; Research"
"1443","GIFI","Oil &amp; Gas Equipment &amp; Services"
"1444","GURE","Specialty Chemicals"
"1445","GPOR","Oil &amp; Gas E&amp;P"
"1446","GWPH","Drug Manufacturers - Major"
"1447","GWGH","Insurance - Life"
"1448","GYRO","REIT - Diversified"
"1449","HEES","Rental &amp; Leasing Services"
"1450","HLG","Education &amp; Training Services"
"1451","HNRG","Coal"
"1452","HALL","Insurance - Property &amp; Casualty"
"1453","HALO","Biotechnology"
"1454","HBK","Banks - Regional - US"
"1455","HLNE","Asset Management"
"1456","HJLI","Medical Devices"
"1457","HJLIW",NA
"1458","HWC","Banks - Regional - US"
"1459","HWCPL",NA
"1460","HAFC","Banks - Regional - US"
"1461","HONE","Savings &amp; Cooperative Banks"
"1462","HLIT","Communication Equipment"
"1463","HARP","Biotechnology"
"1464","HROW","Drug Manufacturers - Specialty &amp; Generic"
"1465","HFGIC",NA
"1466","HBIO","Medical Instruments &amp; Supplies"
"1467","HCAP","Asset Management"
"1468","HCAPZ",NA
"1469","HAS","Leisure"
"1470","HA","Airlines"
"1471","HWKN","Specialty Chemicals"
"1472","HWBK","Banks - Regional - US"
"1473","HAYN","Metal Fabrication"
"1474","HDS","Industrial Distribution"
"1475","HIIQ","Health Care Plans"
"1476","HCSG","Business Services"
"1477","HQY","Health Information Services"
"1478","HSTM","Health Information Services"
"1479","HTLD","Trucking"
"1480","HTLF","Banks - Regional - US"
"1481","HTBX","Biotechnology"
"1482","HEBT","Diversified Industrials"
"1483","HSII","Staffing &amp; Outsourcing Services"
"1484","HELE","Household &amp; Personal Products"
"1485","HSDT","Medical Devices"
"1486","HMTV","Pay TV"
"1487","HNNA","Asset Management"
"1488","HCACU","Conglomerates"
"1489","HSIC","Medical Distribution"
"1490","HTBK","Banks - Regional - US"
"1491","HFWA","Banks - Regional - US"
"1492","HCCI","Pollution &amp; Treatment Controls"
"1493","MLHR","Business Equipment"
"1494","HRTX","Drug Manufacturers - Specialty &amp; Generic"
"1495","HSKA","Diagnostics &amp; Research"
"1496","HX","Credit Services"
"1497","HFFG","Food Distribution"
"1498","HIBB","Specialty Retail"
"1499","SNLN",NA
"1500","HPJ","Electronic Components"
"1501","HIHO","Metal Fabrication"
"1502","HIMX","Semiconductors"
"1503","HIFS","Savings &amp; Cooperative Banks"
"1504","HSGX","Biotechnology"
"1505","HCCH","Conglomerates"
"1506","HCCHR",NA
"1507","HCCHU","Conglomerates"
"1508","HCCHW",NA
"1509","HMNF","Savings &amp; Cooperative Banks"
"1510","HMSY","Business Services"
"1511","HOLI","Diversified Industrials"
"1512","HOLX","Medical Instruments &amp; Supplies"
"1513","HBCP","Savings &amp; Cooperative Banks"
"1514","HOMB","Banks - Regional - US"
"1515","HFBL","Savings &amp; Cooperative Banks"
"1516","HMST","Savings &amp; Cooperative Banks"
"1517","HMTA","Banks - Regional - US"
"1518","HTBI","Banks - Regional - US"
"1519","FIXX","Biotechnology"
"1520","HOFT","Home Furnishings &amp; Fixtures"
"1521","HOPE","Banks - Regional - US"
"1522","HFBC","Savings &amp; Cooperative Banks"
"1523","HBNC","Banks - Regional - US"
"1524","HZNP","Drug Manufacturers - Specialty &amp; Generic"
"1525","HRZN","Asset Management"
"1526","HPT","REIT - Hotel &amp; Motel"
"1527","TWNK","Packaged Foods"
"1528","TWNKW",NA
"1529","HOTH","Biotechnology"
"1530","HMHC","Education &amp; Training Services"
"1531","HWCC","Industrial Distribution"
"1532","HOVNP",NA
"1533","HBMD","Banks - Regional - US"
"1534","HTGM","Diagnostics &amp; Research"
"1535","HTHT","Lodging"
"1536","HUBG","Integrated Shipping &amp; Logistics"
"1537","HSON","Staffing &amp; Outsourcing Services"
"1538","HDSN","Diversified Industrials"
"1539","HUNT","Conglomerates"
"1540","HUNTU","Conglomerates"
"1541","HUNTW",NA
"1542","HBAN","Banks - Regional - US"
"1543","HBANN",NA
"1544","HBANO","Banks - Regional - US"
"1545","HURC","Scientific &amp; Technical Instruments"
"1546","HURN","Business Services"
"1547","HCM","Drug Manufacturers - Major"
"1548","HBP","Industrial Distribution"
"1549","HVBC","Banks - Regional - US"
"1550","HYGS","Diversified Industrials"
"1551","HYRE","Rental &amp; Leasing Services"
"1552","IDSY","Communication Equipment"
"1553","IIIV","Software - Infrastructure"
"1554","IAC","Internet Content &amp; Information"
"1555","IBKC","Banks - Regional - US"
"1556","IBKCO","Banks - Regional - US"
"1557","IBKCP","Banks - Regional - US"
"1558","ICAD","Software - Application"
"1559","IEP","Conglomerates"
"1560","ICCH","Insurance - Specialty"
"1561","ICFI","Business Services"
"1562","ICHR","Semiconductor Equipment &amp; Materials"
"1563","ICLK","Marketing Services"
"1564","ICLR","Diagnostics &amp; Research"
"1565","ICON","Apparel Manufacturing"
"1566","ICUI","Medical Instruments &amp; Supplies"
"1567","IPWR","Diversified Industrials"
"1568","IDEX","Software - Application"
"1569","INVE","Computer Systems"
"1570","IDRA","Biotechnology"
"1571","IDXX","Diagnostics &amp; Research"
"1572","IESC","Engineering &amp; Construction"
"1573","IROQ","Savings &amp; Cooperative Banks"
"1574","IFMK","Grocery Stores"
"1575","INFO","Business Services"
"1576","IIVI","Scientific &amp; Technical Instruments"
"1577","IKNX","Specialty Chemicals"
"1578","ILMN","Diagnostics &amp; Research"
"1579","IMAC","Medical Care"
"1580","IMACW",NA
"1581","ISNS","Scientific &amp; Technical Instruments"
"1582","IMMR","Software - Application"
"1583","ICCC","Biotechnology"
"1584","IMDZ","Biotechnology"
"1585","IMGN","Biotechnology"
"1586","IMMU","Biotechnology"
"1587","IMRN","Biotechnology"
"1588","IMRNW",NA
"1589","IMMP","Biotechnology"
"1590","PI","Electronic Components"
"1591","IMV","Biotechnology"
"1592","INCY","Biotechnology"
"1593","INDB","Banks - Regional - US"
"1594","IBCP","Banks - Regional - US"
"1595","IBTX","Banks - Regional - US"
"1596","ILPT","REIT - Industrial"
"1597","IDSA","Waste Management"
"1598","INFN","Communication Equipment"
"1599","INFI","Biotechnology"
"1600","IFRX","Biotechnology"
"1601","III","Business Services"
"1602","IEA","Engineering &amp; Construction"
"1603","IEAWW",NA
"1604","IMKTA","Grocery Stores"
"1605","INMB","Biotechnology"
"1606","INWK","Marketing Services"
"1607","INOD","Information Technology Services"
"1608","IPHS","Specialty Chemicals"
"1609","IOSP","Specialty Chemicals"
"1610","INNT","Biotechnology"
"1611","ISSC","Aerospace &amp; Defense"
