"","Symbol","industry"
"207","RCUS","Biotechnology"
"208","ARD","Packaging & Containers"
"209","ASC","Shipping & Ports"
"210","AFC",NA
"211","ACRE","REIT - Diversified"
"212","ARDC","Asset Management"
"213","ARES","Asset Management"
"214","ARES^A",NA
"215","AGX","Engineering & Construction"
"216","ARGD",NA
"217","ARGO","Insurance - Property & Casualty"
"218","ANET","Computer Systems"
"219","AI","Specialty Finance"
"220","AI^B",NA
"221","AI^C",NA
"222","AIC",NA
"223","AIW",NA
"224","ARLO","Software - Infrastructure"
"225","AHH","REIT - Diversified"
"226","ARR","REIT - Residential"
"227","ARR^A",NA
"228","ARR^B",NA
"229","AFI","Building Materials"
"230","AWI","Building Materials"
"231","ARW","Electronics Distribution"
"232","AJG","Insurance Brokers"
"233","APAM","Asset Management"
"234","ASA","Asset Management"
"235","ABG","Auto & Truck Dealerships"
"236","ASX","Semiconductors"
"237","ASGN","Staffing & Outsourcing Services"
"238","AHT","REIT - Hotel & Motel"
"239","AHT^D",NA
"240","AHT^F",NA
"241","AHT^G",NA
"242","AHT^H",NA
"243","AHT^I",NA
"244","ASH","Chemicals"
"245","ASPN","Building Materials"
"246","AHL^C",NA
"247","AHL^D",NA
"248","ASB","Banks - Regional - US"
"249","ASB^C",NA
"250","ASB^D",NA
"251","ASB^E",NA
"252","AC","Capital Markets"
"253","AIZ","Insurance - Diversified"
"254","AIZP","Insurance - Diversified"
"255","AGO","Insurance - Specialty"
"256","AGO^B",NA
"257","AGO^E",NA
"258","AGO^F",NA
"259","AZN","Drug Manufacturers - Major"
"260","HOME","Specialty Retail"
"261","T","Telecom Services"
"262","TBB",NA
"263","TBC",NA
"264","ATTO","Business Services"
"265","ATH","Insurance - Diversified"
"266","ATKR","Diversified Industrials"
"267","AT","Utilities - Independent Power Producers"
"268","ATO","Utilities - Regulated Gas"
"269","AUO","Electronic Components"
"270","ACB","Drug Manufacturers - Specialty & Generic"
"271","ATHM","Internet Content & Information"
"272","ALV","Auto Parts"
"273","AN","Auto & Truck Dealerships"
